Date,Temp_C,T_max_C,T_min_C,Humidity_pct,Wind_Speed_kmh,Solar_Rad_Wm2
07-07-2012,32.0239,38.3507,27.4877,50.1952,8.9429,264.4247
08-07-2012,31.8553,38.1302,27.5713,51.2894,8.8715,236.8947
09-07-2012,30.916,36.8961,27.319,57.4172,8.1967,215.3906
10-07-2012,30.4638,37.7097,27.0762,58.3097,8.8764,239.6961
11-07-2012,31.7908,37.3383,27.0752,49.3182,12.0649,277.1009
12-07-2012,31.642,37.5262,26.6673,52.4952,7.7709,258.9955
13-07-2012,31.2046,37.7453,26.0109,54.4376,8.1525,258.8871
14-07-2012,29.8347,35.9146,26.1165,62.8986,6.6866,228.5084
15-07-2012,28.7133,31.9839,26.2267,67.3311,4.7729,151.3243
16-07-2012,29.4925,33.3843,26.015,67.3746,6.3488,208.1439
17-07-2012,29.6511,34.2092,26.7587,69.1998,8.61,230.7747
18-07-2012,30.088,35.3127,26.5514,61.5721,8.7906,228.9983
19-07-2012,30.9928,36.6017,26.7727,52.3057,11.6369,274.7928
20-07-2012,31.1871,36.6088,26.8771,49.0483,13.4053,245.8504
21-07-2012,30.8497,35.576,26.9671,49.5025,13.9265,201.8219
22-07-2012,31.273,36.4741,26.8576,50.156,12.4241,223.8138
23-07-2012,31.2809,37.1364,27.0191,52.3129,11.3673,235.7253
24-07-2012,31.6224,37.3751,27.0783,53.3481,9.6154,249.3149
25-07-2012,31.6546,37.4202,27.8835,50.2399,11.9306,231.3501
26-07-2012,31.6381,37.5968,27.4717,48.6533,11.4845,253.4454
27-07-2012,31.6126,37.0281,27.1191,49.1406,9.9966,253.7056
28-07-2012,30.8579,36.6043,27.3264,54.7861,8.7427,217.1535
29-07-2012,31.2234,36.9002,27.0565,52.62,9.3704,237.2229
30-07-2012,31.3704,37.1168,27.1586,49.3275,10.8126,210.0646
31-07-2012,31.6274,37.6719,26.9614,46.3146,11.8513,248.5217
01-08-2012,31.805,38.4591,26.7397,44.9416,10.8125,282.3904
02-08-2012,31.8957,38.1418,26.7685,45.1387,12.274,273.8148
03-08-2012,31.595,37.6628,26.8712,48.0485,12.6318,240.0845
04-08-2012,31.3536,36.9519,27.3375,48.3166,12.5844,201.1612
05-08-2012,32.2801,38.1279,27.3122,44.0663,13.4116,245.2872
06-08-2012,31.5135,37.9447,27.7753,49.6207,10.9491,239.1354
07-08-2012,30.3821,36.073,27.6011,57.9224,9.7128,187.0719
08-08-2012,29.8491,34.9521,25.9501,57.9075,10.9481,181.4962
09-08-2012,26.4269,27.9693,24.9877,78.4756,9.481,82.5781
10-08-2012,28.765,34.121,25.2177,63.3529,10.1005,189.1797
11-08-2012,28.9563,35.0612,26.0471,64.8921,9.0119,209.3814
12-08-2012,28.4263,32.127,25.8104,68.9074,9.0203,141.0804
13-08-2012,29.2655,33.589,26.1161,66.2015,8.2583,185.5709
14-08-2012,29.6745,35.4274,26.1955,67.5368,8.0102,246.2135
15-08-2012,29.3681,34.9912,25.6848,67.3705,8.0229,228.1878
16-08-2012,29.3174,34.6679,25.6886,65.5336,8.3681,218.9015
17-08-2012,28.8629,34.4419,26.2429,63.6558,13.2177,218.7786
18-08-2012,29.4741,33.8845,26.077,57.5704,12.5603,174.8271
19-08-2012,30.6761,36.4505,26.0348,53.1921,9.9622,272.9957
20-08-2012,30.2744,35.7091,26.1574,56.3744,7.3978,249.4629
21-08-2012,30.4828,36.737,26.0659,56.2274,7.1856,265.7103
22-08-2012,29.9388,35.3687,26.4707,63.4854,7.6905,237.9799
23-08-2012,29.9301,35.2858,26.3466,63.9507,9.1533,255.4504
24-08-2012,29.4182,36.4882,25.5581,67.9365,5.9387,246.8835
25-08-2012,28.9757,34.9485,25.5562,69.4481,9.0331,245.7025
26-08-2012,29.3684,34.5907,25.692,61.8252,11.1053,242.0657
27-08-2012,29.4714,34.5862,25.5992,56.6999,10.777,228.4909
28-08-2012,29.7603,34.3442,26.2166,55.785,11.5328,198.4274
29-08-2012,28.5569,34.48,25.6359,67.872,8.6775,182.3335
30-08-2012,28.0295,33.1633,25.7727,70.9339,9.0107,149.409
31-08-2012,28.6721,34.2744,25.6326,68.2962,9.2345,234.3135
01-09-2012,29.2998,34.9556,25.6958,64.9197,10.0222,235.7803
02-09-2012,29.4693,35.3544,26.2337,64.1984,9.9434,244.6601
03-09-2012,29.5003,33.6576,26.8246,63.4484,10.5907,157.0893
04-09-2012,29.7565,34.0,26.6607,58.0609,11.6801,171.5397
05-09-2012,30.5587,36.4591,26.1538,58.6428,9.4415,271.5477
06-09-2012,30.7684,36.9353,26.7851,58.8651,7.9279,268.3964
07-09-2012,30.0703,36.1716,26.5756,60.8936,7.0966,221.814
08-09-2012,27.766,30.8561,25.5866,73.5893,3.2208,106.974
09-09-2012,29.3058,32.8507,25.7263,61.8383,9.9694,154.6406
10-09-2012,29.1092,35.0381,26.3254,63.3982,8.6885,226.9843
11-09-2012,30.1839,36.1088,26.2322,60.5274,8.2869,253.2393
12-09-2012,30.4121,36.0516,26.4858,59.1417,8.5384,255.1793
13-09-2012,29.9357,35.5021,26.6183,62.5625,8.5403,242.3894
14-09-2012,30.0658,36.2417,26.66,61.7317,8.754,245.7741
15-09-2012,28.9942,35.159,26.0738,68.0054,8.1229,217.1487
16-09-2012,30.1668,35.7075,25.9989,59.7957,7.9025,226.1481
17-09-2012,30.8741,36.7354,26.5496,54.5659,6.4089,260.6581
18-09-2012,31.0336,36.5554,26.414,52.84,4.9181,271.1358
19-09-2012,30.266,35.6041,26.2681,61.2759,8.5632,250.3655
20-09-2012,30.318,35.4213,26.5578,61.9375,9.2545,258.0958
21-09-2012,30.1502,34.8827,26.8785,63.007,10.7253,250.8734
22-09-2012,30.1473,35.9698,26.0848,63.5281,10.2958,245.2304
23-09-2012,29.6307,35.1647,26.1047,67.0957,10.9877,241.633
24-09-2012,30.2536,35.6564,26.5905,58.2176,9.1054,243.6005
25-09-2012,30.947,37.6227,26.7662,55.4229,6.0262,260.5309
26-09-2012,30.9451,37.2477,26.759,56.8279,5.0773,260.1015
27-09-2012,28.6793,35.8271,24.9438,73.4543,0.1108,183.2667
28-09-2012,27.3797,33.1915,24.5733,80.0535,2.6917,135.7528
29-09-2012,27.6219,33.1204,24.1794,79.2584,0.3497,213.9746
30-09-2012,28.1127,32.3641,24.3057,73.5132,4.9212,168.1762
01-10-2012,28.8748,33.8648,25.3791,66.2389,9.4361,251.4985
02-10-2012,29.1174,34.5386,25.3819,65.4576,11.1146,272.4064
03-10-2012,29.3642,35.0593,25.2272,62.6451,10.1648,270.8671
04-10-2012,29.624,35.6468,25.2131,61.2764,8.6997,278.6932
05-10-2012,30.123,36.0279,25.7555,61.7353,7.7289,272.0841
06-10-2012,30.018,34.7256,26.5451,65.2299,8.5383,238.4037
07-10-2012,29.5178,34.7869,25.9535,66.948,2.8256,222.3573
08-10-2012,28.2686,33.5083,24.6806,76.5122,1.4263,219.4603
09-10-2012,27.3116,31.9748,24.4808,79.2613,2.59,192.8178
10-10-2012,28.0825,32.7084,24.4854,76.1137,2.979,246.049
11-10-2012,28.6071,32.6344,25.1432,72.8472,4.1391,232.9636
12-10-2012,28.2316,31.75,25.0728,78.0492,5.4892,205.1785
13-10-2012,27.1471,31.6773,24.0751,81.5687,4.0391,199.0491
14-10-2012,26.9045,30.8412,23.9396,81.9812,3.7321,171.8401
15-10-2012,26.3721,29.9307,24.019,84.8653,2.6776,143.1387
16-10-2012,26.1541,30.1987,23.5933,86.085,1.8329,160.6592
17-10-2012,25.556,29.5381,23.3808,85.6494,7.5151,160.2204
18-10-2012,25.5574,29.298,23.3537,86.4478,8.8087,174.7436
19-10-2012,24.2084,25.487,23.2836,94.7664,8.0727,63.308
20-10-2012,24.85,27.1111,23.3829,91.6911,6.0732,101.7534
21-10-2012,25.5461,29.1998,23.3396,87.9955,7.2145,161.9293
22-10-2012,25.6321,28.8019,23.4747,86.4004,6.6698,150.3691
23-10-2012,25.8257,29.4656,23.7361,85.7242,8.4013,186.6736
24-10-2012,25.4935,27.6425,23.697,89.2644,6.0558,93.9235
25-10-2012,26.4839,30.0856,23.4862,82.4178,7.2455,209.3049
26-10-2012,26.4451,30.0795,23.7722,80.7893,8.7823,196.7827
27-10-2012,26.6217,29.5472,23.744,75.8576,11.1529,181.4492
28-10-2012,26.1127,28.9495,24.2308,79.9757,14.2719,163.1249
29-10-2012,25.7772,29.2477,23.051,79.7968,10.7584,99.5645
30-10-2012,22.4331,23.6088,21.703,89.3621,14.3743,39.0052
31-10-2012,23.7443,25.1005,21.8917,87.8164,13.4299,60.987
01-11-2012,26.7191,30.3369,23.2285,80.5661,12.0803,200.8374
02-11-2012,27.614,31.9726,23.9476,78.2225,8.9352,242.6572
03-11-2012,27.4106,31.8082,23.6982,77.906,6.0386,253.9544
04-11-2012,27.188,32.2396,23.0681,76.8488,3.8537,264.8384
05-11-2012,26.8642,31.3909,23.0384,78.6429,4.3795,247.0887
06-11-2012,26.2848,29.8562,22.8078,84.0283,2.7667,202.3676
07-11-2012,26.4246,30.2714,23.7422,85.3595,3.7924,202.2149
08-11-2012,26.2643,30.3093,23.6997,84.3154,3.8143,180.2243
09-11-2012,26.3072,30.3647,23.1375,83.1899,5.1252,199.0783
10-11-2012,26.4091,30.0013,23.0683,77.4671,8.6317,227.5612
11-11-2012,26.1174,30.1989,22.5371,73.5266,9.788,231.7353
12-11-2012,25.8443,29.9785,22.1711,72.9522,10.0023,246.3881
13-11-2012,25.3833,29.8535,21.2746,69.2435,12.1557,252.4179
14-11-2012,24.9269,29.5326,20.7498,65.5405,12.8759,259.0874
15-11-2012,24.7568,29.415,20.2246,65.9129,11.4675,260.9668
16-11-2012,25.0898,29.6294,20.5843,63.4715,10.3852,258.1783
17-11-2012,25.0804,30.0976,20.9422,65.7305,6.7586,246.1521
18-11-2012,25.1199,30.4763,20.1467,64.1194,4.1386,256.1843
19-11-2012,25.6849,31.5335,19.6551,64.5892,0.2835,259.8486
20-11-2012,26.5757,32.3633,19.9957,67.4442,0.3988,240.8981
21-11-2012,27.3345,32.0514,22.1236,70.7654,1.4641,207.1895
22-11-2012,27.7302,31.3662,24.0759,74.4268,1.9987,208.5024
23-11-2012,26.2805,30.206,23.8487,83.9482,4.2352,149.7986
24-11-2012,26.353,30.0232,23.6948,80.2813,8.022,196.0903
25-11-2012,25.3639,28.8798,23.6244,87.036,9.296,116.15
26-11-2012,26.408,29.8687,23.8011,73.6222,12.9317,196.9708
27-11-2012,25.7699,29.5725,22.336,72.2469,11.6882,178.423
28-11-2012,24.9511,29.5884,20.6962,68.5086,11.5546,237.7307
29-11-2012,23.8762,29.1371,19.1148,69.208,8.7321,236.7145
30-11-2012,24.4069,30.3732,18.9027,66.5259,6.6559,251.3925
01-12-2012,24.8157,30.4106,19.8917,68.8458,7.7905,237.5289
02-12-2012,24.7815,29.8502,20.3472,68.7987,10.5446,218.639
