block,year_month,date,TWS_anomaly_mm
Thiruvidaimarudur,2016-05,2016-05-07,-23.674373952358614
Thiruvidaimarudur,2016-06,2016-06-01,-15.43578963079286
Thiruvidaimarudur,2016-07,2016-07-01,33.655006058348405
Thiruvidaimarudur,2016-08,2016-08-08,-80.35810853087563
Thiruvidaimarudur,2016-11,2016-11-13,-80.44917869006342
Thiruvidaimarudur,2016-12,2016-12-11,-63.83631582691218
Thiruvidaimarudur,2017-01,2017-01-07,-122.19875381894802
Thiruvaiyaru,2012-01,2012-01-01,50.69663983817326
Thiruvaiyaru,2012-02,2012-02-01,37.52375328769659
Thiruvaiyaru,2012-03,2012-03-01,-20.673315329094045
Thiruvaiyaru,2012-06,2012-06-01,-50.81187367293736
Thiruvaiyaru,2012-07,2012-07-01,-21.154213724112942
Thiruvaiyaru,2012-08,2012-08-01,-16.66600818762637
Thiruvaiyaru,2012-09,2012-09-01,-33.18316112224593
Thiruvaiyaru,2012-11,2012-11-06,7.532088102464049
Thiruvaiyaru,2012-12,2012-12-01,-6.849434971852757
Thiruvaiyaru,2013-01,2013-01-01,-30.408109785758505
Thiruvaiyaru,2013-02,2013-02-01,-34.49647697782159
Thiruvaiyaru,2013-04,2013-04-11,-53.75274512986279
Thiruvaiyaru,2013-05,2013-05-01,-66.95013883180496
Thiruvaiyaru,2013-06,2013-06-01,-32.13481294140278
Thiruvaiyaru,2013-07,2013-07-01,-38.96498128686421
Thiruvaiyaru,2013-10,2013-10-01,-17.64701119832837
Thiruvaiyaru,2013-11,2013-11-01,-13.172826028652269
Thiruvaiyaru,2013-12,2013-12-01,-29.613802701102852
Thiruvaiyaru,2014-01,2014-01-01,-41.64231890516232
Thiruvaiyaru,2014-03,2014-03-01,-65.25309877836689
Thiruvaiyaru,2014-04,2014-04-01,-103.13295306414277
Thiruvaiyaru,2014-05,2014-05-01,-56.852560993736
Thiruvaiyaru,2014-06,2014-06-01,-69.76126970776025
Thiruvaiyaru,2014-08,2014-08-01,-41.29048849268326
