Date,Block,Daily_Rainfall_mm
02-11-2013,Ammapettai,3.2078
03-11-2013,Ammapettai,0.0
04-11-2013,Ammapettai,16.0863
05-11-2013,Ammapettai,13.564
06-11-2013,Ammapettai,0.0604
07-11-2013,Ammapettai,0.0
08-11-2013,Ammapettai,0.0
09-11-2013,Ammapettai,0.0
10-11-2013,Ammapettai,0.0
11-11-2013,Ammapettai,0.0
12-11-2013,Ammapettai,0.0
13-11-2013,Ammapettai,0.0
14-11-2013,Ammapettai,0.0
15-11-2013,Ammapettai,17.1724
16-11-2013,Ammapettai,45.1584
17-11-2013,Ammapettai,0.0
18-11-2013,Ammapettai,51.1876
19-11-2013,Ammapettai,0.0
20-11-2013,Ammapettai,0.0
21-11-2013,Ammapettai,0.0
22-11-2013,Ammapettai,0.0
23-11-2013,Ammapettai,0.0
24-11-2013,Ammapettai,13.8016
25-11-2013,Ammapettai,0.0
26-11-2013,Ammapettai,0.0
27-11-2013,Ammapettai,0.0
28-11-2013,Ammapettai,0.0
29-11-2013,Ammapettai,0.0
30-11-2013,Ammapettai,1.5713
01-12-2013,Ammapettai,29.3508
02-12-2013,Ammapettai,13.1669
03-12-2013,Ammapettai,11.722
04-12-2013,Ammapettai,0.3156
05-12-2013,Ammapettai,0.0
06-12-2013,Ammapettai,0.0658
07-12-2013,Ammapettai,6.094
08-12-2013,Ammapettai,0.6063
09-12-2013,Ammapettai,9.051
10-12-2013,Ammapettai,0.0
11-12-2013,Ammapettai,0.0
12-12-2013,Ammapettai,27.6356
13-12-2013,Ammapettai,0.0
14-12-2013,Ammapettai,0.0
15-12-2013,Ammapettai,0.0
16-12-2013,Ammapettai,0.0
17-12-2013,Ammapettai,0.0
18-12-2013,Ammapettai,0.0
19-12-2013,Ammapettai,0.0
20-12-2013,Ammapettai,0.0
21-12-2013,Ammapettai,0.0
22-12-2013,Ammapettai,0.0
23-12-2013,Ammapettai,0.0
24-12-2013,Ammapettai,0.0
25-12-2013,Ammapettai,0.0
26-12-2013,Ammapettai,1.8049
27-12-2013,Ammapettai,0.0
28-12-2013,Ammapettai,0.0
29-12-2013,Ammapettai,0.0
30-12-2013,Ammapettai,0.0
31-12-2013,Ammapettai,0.0
01-01-2014,Ammapettai,0.0
02-01-2014,Ammapettai,0.0
03-01-2014,Ammapettai,0.6205
04-01-2014,Ammapettai,6.1404
05-01-2014,Ammapettai,9.479
06-01-2014,Ammapettai,0.0
07-01-2014,Ammapettai,0.0
08-01-2014,Ammapettai,0.0
09-01-2014,Ammapettai,0.0
10-01-2014,Ammapettai,0.0
11-01-2014,Ammapettai,0.0
12-01-2014,Ammapettai,0.0
13-01-2014,Ammapettai,0.0296
14-01-2014,Ammapettai,0.0
15-01-2014,Ammapettai,0.0
16-01-2014,Ammapettai,0.0
17-01-2014,Ammapettai,0.0
18-01-2014,Ammapettai,0.0
19-01-2014,Ammapettai,0.0
20-01-2014,Ammapettai,0.0
21-01-2014,Ammapettai,0.0
22-01-2014,Ammapettai,0.0
23-01-2014,Ammapettai,0.0
24-01-2014,Ammapettai,0.0
25-01-2014,Ammapettai,0.0
26-01-2014,Ammapettai,0.0
27-01-2014,Ammapettai,0.0
28-01-2014,Ammapettai,0.0
29-01-2014,Ammapettai,0.0
