Date,block,SSM_m3m3
19-07-16,Ammapettai,0.308163652
20-07-16,Ammapettai,0.251652466
21-07-16,Ammapettai,0.318115159
22-07-16,Ammapettai,0.248445827
23-07-16,Ammapettai,0.195340374
24-07-16,Ammapettai,0.330192589
25-07-16,Ammapettai,0.248464032
26-07-16,Ammapettai,0.244135142
27-07-16,Ammapettai,0.319774617
28-07-16,Ammapettai,0.360850578
29-07-16,Ammapettai,0.23813119
30-07-16,Ammapettai,0.299415954
31-07-16,Ammapettai,0.257507568
01-08-16,Ammapettai,0.230696424
02-08-16,Ammapettai,0.200797409
03-08-16,Ammapettai,0.231799554
04-08-16,Ammapettai,0.243231471
05-08-16,Ammapettai,0.392899624
06-08-16,Ammapettai,0.237364525
07-08-16,Ammapettai,0.278501141
08-08-16,Ammapettai,0.239164963
09-08-16,Ammapettai,0.209893891
10-08-16,Ammapettai,0.312189035
11-08-16,Ammapettai,0.476157369
12-08-16,Ammapettai,0.266310539
13-08-16,Ammapettai,0.204343895
14-08-16,Ammapettai,0.199192946
15-08-16,Ammapettai,0.194904658
16-08-16,Ammapettai,0.345920287
17-08-16,Ammapettai,0.316120538
18-08-16,Ammapettai,0.182834193
19-08-16,Ammapettai,0.26202989
20-08-16,Ammapettai,0.265235932
21-08-16,Ammapettai,0.207788066
22-08-16,Ammapettai,0.376214068
23-08-16,Ammapettai,0.232272532
24-08-16,Ammapettai,0.245134532
25-08-16,Ammapettai,0.260106773
26-08-16,Ammapettai,0.231363999
27-08-16,Ammapettai,0.289068809
28-08-16,Ammapettai,0.255039017
29-08-16,Ammapettai,0.282245668
30-08-16,Ammapettai,0.310417313
31-08-16,Ammapettai,0.364943686
01-09-16,Ammapettai,0.202157281
02-09-16,Ammapettai,0.242938755
03-09-16,Ammapettai,0.217939661
04-09-16,Ammapettai,0.201788192
05-09-16,Ammapettai,0.190865431
06-09-16,Ammapettai,0.234601102
07-09-16,Ammapettai,0.213445423
08-09-16,Ammapettai,0.300293154
09-09-16,Ammapettai,0.32745044
10-09-16,Ammapettai,0.434665718
11-09-16,Ammapettai,0.434729902
12-09-16,Ammapettai,0.280243279
13-09-16,Ammapettai,0.254879597
14-09-16,Ammapettai,0.250636028
15-09-16,Ammapettai,0.284434512
16-09-16,Ammapettai,0.203164937
17-09-16,Ammapettai,0.3232455
18-09-16,Ammapettai,0.310903347
19-09-16,Ammapettai,0.192310762
20-09-16,Ammapettai,0.303027838
21-09-16,Ammapettai,0.290462229
22-09-16,Ammapettai,0.186447352
23-09-16,Ammapettai,0.446517676
24-09-16,Ammapettai,0.175092092
25-09-16,Ammapettai,0.360870096
26-09-16,Ammapettai,0.437637091
28-09-16,Ammapettai,0.362714915
29-09-16,Ammapettai,0.347271014
30-09-16,Ammapettai,0.343555779
01-10-16,Ammapettai,0.220837422
02-10-16,Ammapettai,0.19804962
03-10-16,Ammapettai,0.251686725
04-10-16,Ammapettai,0.21308463
05-10-16,Ammapettai,0.207461924
06-10-16,Ammapettai,0.195598746
07-10-16,Ammapettai,0.243675229
08-10-16,Ammapettai,0.216619567
09-10-16,Ammapettai,0.276679329
10-10-16,Ammapettai,0.300896237
11-10-16,Ammapettai,0.401725467
12-10-16,Ammapettai,0.294121191
13-10-16,Ammapettai,0.410760073
14-10-16,Ammapettai,0.421815626
15-10-16,Ammapettai,0.4192417
16-10-16,Ammapettai,0.35666124
17-10-16,Ammapettai,0.486809457
18-10-16,Ammapettai,0.357300178
19-10-16,Ammapettai,0.410174897
20-10-16,Ammapettai,0.486284103
21-10-16,Ammapettai,0.395160181
22-10-16,Ammapettai,0.431969132
23-10-16,Ammapettai,0.440136674
24-10-16,Ammapettai,0.436918289
25-10-16,Ammapettai,0.48498772
26-10-16,Ammapettai,0.422424824
27-10-16,Ammapettai,0.446768293
28-10-16,Ammapettai,0.486273534
29-10-16,Ammapettai,0.370436169
30-10-16,Ammapettai,0.39271606
31-10-16,Ammapettai,0.441788265
01-11-16,Ammapettai,0.250358256
02-11-16,Ammapettai,0.207616336
03-11-16,Ammapettai,0.224557642
04-11-16,Ammapettai,0.288024212
05-11-16,Ammapettai,0.191218618
06-11-16,Ammapettai,0.171203993
07-11-16,Ammapettai,0.426177241
08-11-16,Ammapettai,0.2434541
09-11-16,Ammapettai,0.208932009
10-11-16,Ammapettai,0.410840108
11-11-16,Ammapettai,0.387545375
12-11-16,Ammapettai,0.27149452
13-11-16,Ammapettai,0.48446374
14-11-16,Ammapettai,0.389607604
15-11-16,Ammapettai,0.350991429
16-11-16,Ammapettai,0.442649425
17-11-16,Ammapettai,0.37032565
18-11-16,Ammapettai,0.351634103
19-11-16,Ammapettai,0.379902161
20-11-16,Ammapettai,0.423697071
21-11-16,Ammapettai,0.420438198
22-11-16,Ammapettai,0.330097973
23-11-16,Ammapettai,0.356927724
24-11-16,Ammapettai,0.408535007
25-11-16,Ammapettai,0.342994725
26-11-16,Ammapettai,0.313665255
27-11-16,Ammapettai,0.31556822
28-11-16,Ammapettai,0.40576475
29-11-16,Ammapettai,0.365164571
30-11-16,Ammapettai,0.286058074
01-12-16,Ammapettai,0.212500788
02-12-16,Ammapettai,0.19975115
03-12-16,Ammapettai,0.210982248
04-12-16,Ammapettai,0.193749971
05-12-16,Ammapettai,0.231528916
06-12-16,Ammapettai,0.207524777
07-12-16,Ammapettai,0.210148022
08-12-16,Ammapettai,0.452392346
09-12-16,Ammapettai,0.237820372
10-12-16,Ammapettai,0.461508847
11-12-16,Ammapettai,0.461127796
12-12-16,Ammapettai,0.265322632
13-12-16,Ammapettai,0.254575181
14-12-16,Ammapettai,0.296095426
15-12-16,Ammapettai,0.338760744
16-12-16,Ammapettai,0.232736047
17-12-16,Ammapettai,0.254944914
18-12-16,Ammapettai,0.288016355
19-12-16,Ammapettai,0.239121706
20-12-16,Ammapettai,0.239912181
21-12-16,Ammapettai,0.231352953
22-12-16,Ammapettai,0.272199703
23-12-16,Ammapettai,0.267449701
24-12-16,Ammapettai,0.235225821
25-12-16,Ammapettai,0.245075996
26-12-16,Ammapettai,0.261200069
27-12-16,Ammapettai,0.218570847
28-12-16,Ammapettai,0.236765542
29-12-16,Ammapettai,0.262789126
30-12-16,Ammapettai,0.231542283
31-12-16,Ammapettai,0.2532476
01-01-17,Ammapettai,0.212255038
02-01-17,Ammapettai,0.2178984
03-01-17,Ammapettai,0.194494008
04-01-17,Ammapettai,0.223997364
05-01-17,Ammapettai,0.185510225
06-01-17,Ammapettai,0.240497136
07-01-17,Ammapettai,0.174023477
08-01-17,Ammapettai,0.3022793
09-01-17,Ammapettai,0.215492835
10-01-17,Ammapettai,0.454365372
11-01-17,Ammapettai,0.480987122
12-01-17,Ammapettai,0.350020069
13-01-17,Ammapettai,0.208390951
14-01-17,Ammapettai,0.184866481
15-01-17,Ammapettai,0.216063311
16-01-17,Ammapettai,0.223912796
17-01-17,Ammapettai,0.18519875
18-01-17,Ammapettai,0.208530309
19-01-17,Ammapettai,0.20252205
20-01-17,Ammapettai,0.169962084
21-01-17,Ammapettai,0.21755658
22-01-17,Ammapettai,0.28229912
23-01-17,Ammapettai,0.212964609
24-01-17,Ammapettai,0.22718661
25-01-17,Ammapettai,0.213970222
26-01-17,Ammapettai,0.200790426
27-01-17,Ammapettai,0.197278889
28-01-17,Ammapettai,0.268989444
29-01-17,Ammapettai,0.220356776
30-01-17,Ammapettai,0.255609614
31-01-17,Ammapettai,0.197379348
01-02-17,Ammapettai,0.217482404
02-02-17,Ammapettai,0.218695748
03-02-17,Ammapettai,0.259392173
04-02-17,Ammapettai,0.20494942
05-02-17,Ammapettai,0.21564082
06-02-17,Ammapettai,0.153262473
07-02-17,Ammapettai,0.301816786
08-02-17,Ammapettai,0.349322543
09-02-17,Ammapettai,0.262567146
10-02-17,Ammapettai,0.483517908
11-02-17,Ammapettai,0.483517908
12-02-17,Ammapettai,0.382862288
13-02-17,Ammapettai,0.192612764
14-02-17,Ammapettai,0.208734467
15-02-17,Ammapettai,0.191162056
16-02-17,Ammapettai,0.186816904
17-02-17,Ammapettai,0.24045001
18-02-17,Ammapettai,0.191479077
19-02-17,Ammapettai,0.208215427
20-02-17,Ammapettai,0.184395944
21-02-17,Ammapettai,0.192557366
22-02-17,Ammapettai,0.211530136
23-02-17,Ammapettai,0.193533076
24-02-17,Ammapettai,0.194030696
25-02-17,Ammapettai,0.240117861
26-02-17,Ammapettai,0.193022096
